rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
2809,147611210,1,1881.58,4,36008.7,53.6047,57.4977,8,12.8336,6269,1.75303,3,24,0,0,9.68736,474.17,1448.95,0.967994,148.862,66.2962,False,False,1,0.900244,False,1,,,single,True,3.23706,False,B
2818,26983067,1,1875.44,3,44921.2,53.3947,0.33768,4,12.7233,5359,1.5749,3,24,0,0,13.6357,3345.62,1485.9,0.965322,150.271,20.6914,False,False,3,1.93177,True,1,,,single_partial,True,3.24815,False,B
2823,155560781,1,1889.68,1.5,39739.1,53.346,1.32272,3,12.4148,6068,1.12262,3,24,0,0,,245.318,1157.79,0.974219,158.383,37.6028,False,False,3,0.99402,True,1,,,single_partial,True,2.17771,False,B
2826,154939098,1,1872.51,3,23568.3,53.2798,45,6,12.4025,5819,0.865247,3,24,0,0,8.4764,250.554,1011.42,0.986107,208.851,84.4293,False,False,0,0.900244,False,2,,,single,True,1.29259,True,A
2844,166584327,1,1874.02,3,42137.9,52.7326,0.334152,4,12.7795,5277,0.881576,2,16,1,0,13.3644,11748.2,1426.19,0.950331,135.37,32.822,False,False,2,1.44414,True,2,,,single_partial,True,1.76098,True,B
2860,67597023,1,1892.25,6,24141.5,52.1373,126.004,8,12.4548,6087.07,1.59445,3,24,0,0,13.5623,412.336,1170.23,0.985219,131.55,37.5943,False,False,1,1.2941,False,1,,,single,True,2.41074,False,B
2873,87957870,1,1893.24,1.5,48450.6,51.9276,0.67534,3,12.1097,6210,1.41647,3,24,0,0,13.646,1998.89,1107.17,0.814448,146.28,21.6593,False,False,1,2.40065,True,1,,,single_partial,True,3.03399,False,B
2877,126323779,1,1878.65,1,42407.2,51.8308,0.164535,2,12.4035,5732,0.965798,3,24,0,0,,259.303,1159.76,0.991274,135.325,25.7161,False,False,1,2.71949,True,1,,,single_partial,True,1.93537,True,B
2884,21508802,1,1895.08,2,22447.2,51.5218,64.4882,4,11.8878,5633.45,1.10127,3,24,0,0,1.97762,210.673,741.438,0.997337,133.175,43.6056,False,False,2,0.5,False,1,,,single,True,1.60558,True,A
2889,101546594,1,1894.62,3,14460.9,51.4068,0.490945,4,10.9002,5928.01,1.1548,3,24,0,0,8.02681,335.821,460.768,0.996933,129.702,32.702,False,False,1,2.43816,True,2,,,single_partial,True,1.35133,True,B
2901,3756382,1,1874.15,2,44133.8,51.1577,84.1666,4,12.7351,5865.38,2.01606,3,24,0,0,5.45823,492.36,1562.42,0.916584,128.53,28.5146,False,False,5,1.838,False,1,,,single,True,4.12142,False,B
2907,56912737,1,1877.65,2,7126.59,50.9391,151.833,4,9.56358,6378.18,1.42182,3,24,0,0,8.52854,87.218,222.242,0.997666,139.354,47.2726,False,False,0,0.5,False,3,,,single,True,1.168,True,A
2912,126349898,1,1877.42,6,19699.8,50.8722,-0.83547,8,12.3452,5886.78,1.32457,3,24,0,0,,211.143,1067.83,0.996247,135.681,25.6673,False,False,2,2.83202,True,1,,,single_partial,True,1.8091,True,B
