rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
8024,230133211,2,1893.81,1,14824.3,9.41901,94.8364,2,10.752,6113,1.41457,3,24,0,1,0.199336,3856.44,1061.14,0.983102,252.501,68.0869,False,False,0,1.25659,False,9,,,repeating,False,1.67598,True,
8025,284898876,3,1871.34,2,2399.36,9.41803,4.66667,4,10.7281,5583.7,1.37448,3,24,0,0,5.77437,168.94,402.466,0.958309,132.645,30.4645,True,False,8,2.32563,False,3,,,secondary,False,0.655154,True,
8026,149911398,6,1880.17,3,6936.09,9.41705,36.3349,6,12.9455,6490,1.96973,3,24,0,0,5.67272,765.105,1616.72,0.997288,159.112,61.584,False,False,1,1.27535,False,7,,,secondary,False,1.59633,True,
8027,361920791,1,1873.88,1.5,4509.8,9.41692,77.8333,3,11.8084,5521.41,0.831804,3,24,0,0,,145.814,814.041,0.940333,130.425,32.2086,False,False,3,2.757,False,1,,,single,True,0.543572,True,A
8028,272672133,1,1893.48,2,3120.27,9.41577,102.84,4,11.7176,5202,0.904432,3,24,0,0,,120.202,648.024,0.992428,234.242,67.4525,False,False,1,1.70671,False,6,1765.01,1765.01,repeating,False,0.49162,True,
8029,287254116,5,1890.6,6,9313.34,9.41435,130.5,12,11.5484,5451.48,2.30757,2,16,1,0,7.18196,3721.41,618.836,0.988741,144.431,50.3432,False,False,0,0.5,False,7,,,secondary,False,2.16703,False,
8030,311568062,1,1886.52,6,1004.26,9.41269,0.83865,8,9.1049,5961,2.61289,3,24,0,0,1.79552,62.9541,212.042,0.994419,158.744,50.1089,False,True,24,1.03153,True,1,,,common_mode,False,0.805752,True,
8031,229591624,1,1871.22,6,3045.36,9.40974,14,10,12.1556,5647,0.878109,3,24,0,0,5.42492,247.867,883.412,0.90365,272.531,77.3742,True,False,4,1.35037,False,1,,,single,True,0.471547,True,B
8032,149366336,9,1871.36,1,162194,9.40911,13.6665,2,10.6901,6263.92,2.18606,1.5,12,1,1,0.609188,47051,9960.9,0.748857,138.969,25.3606,True,False,3,1.36912,False,10,,,repeating,False,8.56716,False,
8033,126278032,1,1883.23,12,3988.05,9.40496,0.83467,18,12.8278,5743.67,0.910539,3,24,0,0,,271.291,1498.07,0.966585,134.119,24.0871,False,False,0,1.89426,True,1,,,single_partial,True,0.559547,True,B
