toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
1744.01,229455001,CP,22.3417,472,2.582,1,False,,
1747.01,233071822,PC,2.75465,394,0.561,10,False,,
1748.01,233071926,PC,1.83186,403.122,1.42112,14,False,,
1749.01,233602827,CP,4.48914,1271.19,1.88334,6,False,,
1749.02,233602827,CP,9.0447,1611,1.76531,3,False,,
1749.03,233602827,KP,2.38891,569.851,1.03241,10,False,,
1750.01,237099296,PC,11.3374,1194.05,2.86113,2,False,,
1751.01,287080092,CP,37.4685,429,7.685,1,True,single,8.92939
1752.01,287139872,CP,0.935189,1150.29,0.769465,27,False,,
1753.01,289580577,CP,5.38462,630.69,3.26173,5,False,,
1757.01,367753709,PC,2.12569,570.686,1.46497,11,False,,
1757.02,367753709,PC,5.00971,560.416,0.945711,6,False,,
1816.01,237108272,FA,22.7873,410,5.334,1,False,,
1819.01,341815767,FA,3.09374,150,2.451,9,False,,
1824.01,142387023,CP,22.8086,977,3.847,1,False,,
1825.01,229750058,PC,10.1824,10610,2.788,3,True,repeating,23.7889
1826.01,229400092,CP,4.14198,10130.9,2.38097,7,True,repeating,32.006
1828.01,232982938,CP,9.09412,2570,4.389,3,True,repeating,15.2644
1782.02,160045097,CP,1.82903,704.849,1.66791,13,False,,
1782.03,160045097,PC,18.756,1506.82,2.55507,2,False,,
1783.01,229938290,PC,1.41987,465.211,1.30585,17,False,,
1784.01,241196395,APC,2.09376,1250,0.433,12,False,,
1785.01,230386259,PC,11.0023,298,5.305,2,False,,
1786.01,86280613,FP,9.57355,2788,2.036,2,True,repeating,12.0899
1787.01,372730331,PC,8.70467,9660,2.58,3,True,repeating,23.152
1788.01,450327768,FP,5.34326,6980,1.426,5,True,repeating,24.8467
1789.01,172518755,CP,3.20871,1960,1.639,8,True,repeating,15.4563
1790.01,310981412,FA,9.62517,540,3.725,3,False,,
1791.01,233684293,FA,48.4808,110,8.081,1,False,,
1792.01,29191596,PC,8.81649,170,3.895,3,False,,
2148.01,233569098,FP,23.4852,6020,3.546,1,True,single,12.6458
2153.01,406855039,FP,2.71808,329.173,6.18429,10,False,,
2166.01,233680651,PC,5.13546,353,3.716,6,False,,
