tic,trial,t0,depth_ppm,duration_h,expected_snr,expected_snr_white,window_d,max_dur_h,long_limited,hf_variable,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,measured_snr
4896021,11,1891.89,321.466,24,3.84897,3.91449,3,24,0,0,0,0,,,,4.26392
4896021,12,1879.7,6954.33,4,36.27,34.5716,3,24,0,0,1,1,1879.71,5985.64,4,34.1159
4896021,13,1880.56,1137.54,4,5.93276,5.65495,3,24,0,0,0,0,,,,5.43199
4896021,14,1881.37,3221.34,4,16.8008,16.014,3,24,0,0,1,1,1881.36,2476.75,4,14.3544
4896021,15,1872.35,722.922,4,3.77037,3.59382,3,24,0,0,0,0,,,,3.43209
4896021,16,1871.37,2460.93,24,29.4652,29.9667,3,24,0,0,1,1,1871.46,2461.79,16,23.703
4896021,17,1878.27,3613.92,24,43.2701,44.0067,3,24,0,0,1,1,1878.23,3315.22,24,40.4763
4896021,18,1874.06,1696.21,8,11.7447,11.925,3,24,0,0,1,1,1874.04,1536.11,8,11.3494
4896021,19,1889.77,1287.99,8,8.91816,9.05507,3,24,0,0,1,1,1889.77,1157.95,6,7.74539
4972171,0,1882.89,1388.88,8,3.84478,4.82473,3,24,0,0,0,0,,,,2.34043
4972171,1,1883.54,17643.3,2,28.7302,30.6449,3,24,0,0,1,1,1883.53,18319.6,1.5,29.9743
4972171,2,1876.37,6450.42,4,14.0839,15.8446,3,24,0,0,1,1,1876.38,6507.53,3,13.99
4972171,3,1880.85,18293.6,1,21.9499,22.4679,3,24,0,0,1,1,1880.84,8924.5,1,11.8284
4972171,4,1874.87,5560.46,16,18.9429,27.3171,3,24,0,0,1,1,1874.84,5707.99,12,18.0338
4972171,5,1872.7,16282,2,26.5135,28.2804,3,24,0,0,1,1,1872.7,16246.1,1.5,26.5766
4972171,6,1870.7,3156.93,1,3.78791,3.8773,3,24,0,0,0,0,,,,
4972171,7,1891.89,2614.62,8,7.23795,9.08276,3,24,0,0,0,0,,,,4.98113
4972171,8,1874.95,6155.78,1,7.38614,7.56044,3,24,0,0,0,0,,,,3.24714
4972171,9,1875.04,3320.71,2,5.40742,5.76779,3,24,0,0,0,0,,,,5.66981
4972171,10,1896.45,2992.82,24,12.0154,18.0074,3,24,0,0,1,1,1896.63,2828.42,12,9.57106
4972171,11,1876.56,2621.46,8,7.25689,9.10651,3,24,0,0,0,0,,,,6.4556
4972171,12,1887.83,7918.95,4,17.2902,19.4519,3,24,0,0,1,1,1887.81,7629.99,3,16.7024
4972171,13,1891.72,972.565,16,3.31325,4.77796,3,24,0,0,0,0,,,,2.41731
4972171,14,1889,4489.9,8,12.4292,15.5972,3,24,0,0,1,1,1889,4491.21,6,12.1539
4972171,15,1878.7,2013.62,24,8.08417,12.1157,3,24,0,0,0,0,,,,4.42867
4972171,16,1892,20464,2,33.3235,35.5443,3,24,0,0,1,1,1891.99,19485.4,1.5,31.6152
4972171,17,1892.06,15726.9,8,43.5363,54.6328,3,24,0,0,1,1,1892.06,15519.3,6,43.9577
4972171,18,1893.12,14386.9,1,17.2625,17.6698,3,24,0,0,1,1,1893.13,7872.57,1,10.5103
4972171,19,1897.72,13385.8,24,53.7408,80.5407,3,24,0,0,1,1,1897.44,12703.9,8,38.4256
8247372,0,1880.41,6380.47,4,14.0037,13.6943,3,24,0,0,1,1,1880.42,5685.09,3,11.9575
8247372,1,1875.02,9690.64,16,53.9322,41.5978,3,24,0,0,1,1,1875,8526.49,16,50.2937
8247372,2,1892.64,710.048,16,3.9517,3.04794,3,24,0,0,0,0,,,,4.69134
8247372,3,1894.04,5441.79,1,5.85803,5.83983,3,24,0,0,0,0,,,,3.56667
8247372,4,1871.41,967.862,8,3.41485,2.93776,3,24,0,0,0,0,,,,2.77542
8247372,5,1872.54,1594.27,4,3.49906,3.42176,3,24,0,0,0,0,,,,3.44439
8247372,6,1891.93,35270.4,1,37.9682,37.8502,3,24,0,0,1,1,1891.92,18642.7,1,22.3101
8247372,7,1890.83,16093,8,56.7799,48.8472,3,24,0,0,1,1,1890.83,14613.4,8,55.7615
8247372,8,1894.62,3591.21,2,5.63449,5.45022,3,24,0,0,0,0,,,,5.67012
8247372,9,1896.12,5339.41,8,18.8387,16.2068,3,24,0,0,1,1,1896.13,4860.68,8,17.8348
8247372,10,1887.89,5860.82,1,6.30911,6.28951,3,24,0,0,0,0,,,,4.71095
8247372,11,1881.22,6507.92,2,10.2107,9.87678,3,24,0,0,1,1,1881.22,6415.57,1.5,9.39031
8247372,12,1882.22,3678.12,16,20.4702,15.7886,3,24,0,0,1,1,1882.17,3341.66,16,19.4703
8247372,13,1882.31,18079.7,2,28.3665,27.4388,3,24,0,0,1,1,1882.3,18200.8,1.5,26.4429
8247372,14,1882.62,5491.35,1,5.91138,5.89301,3,24,0,0,0,0,,,,4.1385
8247372,15,1894.83,3121.88,4,6.85181,6.70045,3,24,0,0,1,1,1894.81,3447.59,3,7.07749
8247372,16,1880.47,8165.88,8,28.8112,24.786,3,24,0,0,1,1,1880.46,6982.24,8,26.7637
8247372,17,1877.95,6713.73,16,37.3645,28.8192,3,24,0,0,1,1,1877.94,6075.76,16,35.1144
8247372,18,1887.14,1248.69,16,6.94945,5.3601,3,24,0,0,0,0,,,,3.71989
8247372,19,1880.58,7032.08,4,15.4338,15.0929,3,24,0,0,1,1,1880.58,7367.23,3,15.4352
8884142,0,1889.6,15410.4,1,35.2735,38.4111,3,24,0,0,1,1,1889.59,7818.16,1,19.8062
8884142,1,1887.41,1884.55,24,19.8153,23.0121,3,24,0,0,1,1,1887.56,1583.6,12,13.5094
8884142,2,1893.81,538.228,8,3.32123,3.7945,3,24,0,0,0,0,,,,2.84082
