key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
149417234_1887.9400,149417234,1887.94,B,7688,10.0991,8327.38,3,12.8119,0.823066,0.92,140.19973,25.825992,True,False,,ok,True,True,21.162279,22.364544,flare_decay,1887.9551,0.38313745,3.5949808,1.2550226,10053.964,True,True,False,2.8843041,4.8321396,,False,True,False,False,False,ok,False,False,0.11421119,0.087975558,True,,,1.3029343,True,True,,0,1.1534302,True,,True,False,False,False,False,,,,not run,,,,,,0,22.364544,154.71104,98.157442,21.162279
87950945_1889.0900,87950945,1889.09,B,7695,10.0815,10524,1.5,12.8186,1.64848,0.99,145.62184,20.585725,True,False,,ok,False,False,-3.5557624,1.2518491,flare_decay,1889.1004,0.1244938,2.5634028,0.89701683,12232.013,True,True,False,4.5848333,0.18996717,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,1.2518491,72.570543,45.305084,-3.5557624
393854649_1896.9600,393854649,1896.96,B,7698,10.0773,427.727,16,8.1963,1.39355,1.01,156.75987,46.937049,True,False,,ok,True,False,22.10374,-13.743337,flare_decay,1896.95,0.019407506,17.420272,0.069420099,456.08739,False,True,False,3.4893785,311.38838,,True,False,True,False,True,ok,False,False,3.7184942,9.0383494,True,0.32801135,23.843449,9.5462581,False,True,,1,37.472381,True,,True,False,False,False,False,,,,not run,,,,,,0,-13.743337,88.543487,27.080241,22.10374
8718728_1874.3400,8718728,1874.34,B,7707,10.065,14058.1,3,12.9029,1.95172,1.36,138.33695,32.056904,True,False,,ok,True,True,28.153419,19.637349,flare_decay,1874.3758,0.12793798,1.9312515,0.0010016415,19807.475,False,False,False,4.8984032,0.14268304,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,19.637349,607.57578,431.99929,28.153419
241259860_1896.9600,241259860,1896.96,B,7710,10.0568,288.274,16,7.8875,1.81098,1.394,158.12441,31.421902,True,False,,ok,True,False,23.329901,-10.474082,step,1896.9489,0.016969215,17.07918,0.009200626,349.01938,False,True,False,4.0635519,185.8693,,True,False,True,False,True,ok,False,False,4.2340165,8.3273033,True,0.55010844,25.215333,8.4310847,False,True,,0,42.580657,True,,True,False,False,False,False,,,,not run,,,,,,0,-10.474082,113.34541,23.329901,33.8514
16779920_1896.6800,16779920,1896.68,B,7712,10.0521,1458.82,24,12.2188,2.27837,1.02,141.65375,36.101594,True,False,,ok,True,True,14.929775,2.3150909,step,1896.7678,0.54856373,37.052056,1.4902251,3137.0899,True,True,False,8.6533216,197.49727,,True,True,True,True,True,ok,True,True,0.8077855,0.54048665,True,,,-11.27101,True,True,,1,8.1199406,True,,True,False,False,False,False,,,,ok,True,0.024473659,0.0050557318,26.293379,197.49727,0,2.3150909,59.45131,14.929775,15.053861
149369349_1876.7900,149369349,1876.79,B,7715,10.0451,90337.3,3,11.3921,0.948207,0.983,139.21515,25.212982,True,False,,ok,False,False,-32.066538,-2.1810892,flare_decay,1876.8169,0.26691822,6.0017688,0.00032381716,85725.827,False,True,False,2.9772203,20.486877,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.1810892,99.916302,0.43914191,-32.066538
24004731_1896.9400,24004731,1896.94,B,7722,10.0209,2178.7,16,10.2495,1.04498,1.048,163.21163,46.608336,True,False,,ok,True,False,41.513871,-10.829437,flare_decay,1896.9448,0.043943433,17.894072,0.0016370358,2340.1831,False,True,False,2.6463778,773.34052,,True,False,True,True,True,ok,True,True,0.51503817,0.61466502,True,,,2.0389761,True,True,,0,5.161146,True,,True,False,False,False,False,,,,ok,True,4.0758978e-06,1.9785087e-10,26.47138,773.34052,0,-10.829437,157.62511,51.800857,41.513871
8792820_1878.7100,8792820,1878.71,B,7729,10.0017,1731.43,12,10.8101,1.10889,1.24,140.7124,30.572635,True,False,,ok,True,True,61.665906,17.572653,flare_decay,1878.8084,0.06416462,8.9950073,0.7501354,4162.1396,False,True,False,2.7065416,91.820885,,False,,,False,False,ok,False,False,-1.8051276,-1.1062464,True,,,-720.92382,True,True,,1,-18.054345,True,,True,False,False,False,False,,,,not run,,,,,,0,17.572653,238.39775,182.49931,61.665906
268051899_1897.5300,268051899,1897.53,B,7746,9.96363,4481.46,2,10.6188,0.64058,0.620018,298.02864,60.835626,True,False,,ok,False,False,-11.285008,-9.9226298,ramp,1897.5255,0.034582536,0.57939922,0.8312702,1119.3419,False,False,False,1.9149159,,,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-9.9226298,-11.285008,-10.438876,-7.8854201
