key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
318217149_15,318217149,15,1887.87,3490.93,24,14.3686,1,True,True,13.0675,26.6297,-6.29679,step,False,True,True,True,True,True,0.873707,2.09077,0.0898934,0,True,True,True,True,,True,True
318217149_16,318217149,16,1875.24,8081.72,1,6.39092,0,False,,,,,,,,,,,,,,,,,,,,,,
318217149_17,318217149,17,1886.49,7412.94,1,5.86206,0,False,,,,,,,,,,,,,,,,,,,,,,
318217149_18,318217149,18,1892.56,11356,2,12.1047,1,False,True,10.2278,8.35323,1.08693,flare_decay,False,False,True,True,True,True,0.668811,0.831503,,,False,True,True,True,,True,
318217149_19,318217149,19,1883.62,2354.63,4,3.47639,0,True,,,,,,,,,,,,,,,,,,,,,,
318357271_0,318357271,0,1875.41,9843.17,4,19.2377,1,False,True,19.4392,46.9536,24.4433,flare_decay,True,True,True,True,True,True,1.35307,0.923121,,,True,False,True,True,,True,
318357271_1,318357271,1,1871.29,1294.65,8,3.4071,0,True,,,,,,,,,,,,,,,,,,,,,,
318357271_2,318357271,2,1879.37,8159.83,24,46.1062,1,True,True,45.8071,245.638,33.0572,flare_decay,True,True,True,True,True,True,0.961498,0.95348,,,True,True,True,True,,True,
318357271_3,318357271,3,1887.06,10366.3,2,15.4229,1,False,True,15.4643,49.3749,5.72122,flare_decay,True,True,True,True,True,True,1.451,0.930254,,,True,False,True,True,,True,
318357271_4,318357271,4,1889.85,6254.72,8,16.4604,1,True,True,16.5138,74.8322,3.43181,flare_decay,True,True,True,True,False,True,0.647273,1.00956,,,True,True,True,False,,True,
318357271_5,318357271,5,1887.79,8200.73,4,16.0277,1,False,True,16.0424,70.5963,-7.28473,flare_decay,False,True,True,True,True,True,0.972328,0.844755,,,True,False,True,True,,True,
318357271_6,318357271,6,1897.08,7499.39,2,11.1576,1,False,True,12.1798,83.1413,18.8788,flare_decay,True,True,True,True,True,True,1.18055,1.09381,,,True,False,True,True,,True,
318357271_7,318357271,7,1872.58,8630.79,16,30.7537,1,True,True,28.6365,259.77,5.83122,flare_decay,True,True,True,True,False,True,1.28368,0.951335,,,True,True,True,False,,True,
318357271_8,318357271,8,1881.14,997.428,24,5.63585,0,True,,,,,,,,,,,,,,,,,,,,,,
