level,tic,t0_a,dur_h_a,depth_ppm_a,snr_a,t0_b,dur_h_b,depth_ppm_b,snr_b,depth_ratio,dur_ratio,consistent,dt_d,n_alias_ge10d,phase4_a,phase4_b,new_in_s21,new_in_s48
candidates,287179145,1897.49,6,4014.63,10.3778,2635.79,3,5764.28,9.08128,1.43582,0.5,True,738.3,73,,,,
candidates,138652016,1883.79,3,2149.24,10.2974,2610.45,1.5,1571.37,8.1483,0.731128,0.5,True,726.66,72,,,,
candidates,358617224,1897.51,4,4297.56,10.2872,2635.77,4,12011.7,23.478,2.795,1,False,738.26,73,,,,
candidates,91844695,1882.94,8,1150.69,10.139,2627.3,24,4160.57,24.9223,3.61572,3,False,744.36,74,maybe,,True,
candidates,87950945,1889.09,1.5,10524,10.0815,2621.38,6,6305.18,11.2521,0.599124,4,False,732.29,73,,,,
candidates,258954036,1893.34,1.5,10621.9,10.0633,2633.8,3,121301,143.332,11.4199,2,False,740.46,74,drop,,True,
candidates,86118797,1873.34,1,6186.79,10.0455,2632.17,2,5479.65,9.89306,0.885702,2,True,758.83,75,,,,
candidates,147994132,1897.49,1.5,4518.78,9.99212,2635.16,16,3983.45,13.4942,0.881532,10.6667,False,737.67,73,,,,
candidates,239205079,1897.26,1.5,2070.38,9.94263,2615.02,6,23785,46.0438,11.4882,4,False,717.76,71,,,,
candidates,264173786,1897.59,1.5,1491.93,9.78735,2635.65,6,2444.36,10.1827,1.63839,4,False,738.06,73,,,,
candidates,302728777,1877.67,6,3104.4,9.38828,2633.49,6,3028.72,11.308,0.975622,1,True,755.82,75,,,False,False
candidates,99919551,1882.42,4,4818.79,9.2592,2628.77,3,6509.11,11.901,1.35078,0.75,True,746.35,74,,,False,False
candidates,21101556,1893.58,2,2639.12,9.10834,2625.95,2,2255.66,7.323,0.854702,1,True,732.37,73,,,,
candidates,313262041,1883.73,6,2114.49,9.09387,2610.55,4,3477.54,11.2596,1.64462,0.666667,True,726.82,72,,,,
candidates,287080092,1883.52,6,418.955,8.92939,2632.87,6,525.524,10.5022,1.25437,1,True,749.35,74,,,,False
candidates,4754562,1896.94,16,1967.41,8.87873,2635.84,1,5828.85,7.73291,2.9627,0.0625,False,738.9,73,,,,
candidates,87975095,1891.81,6,3708.96,8.87795,2621.29,8,4739.32,10.4,1.2778,1.33333,True,729.48,72,,,,
candidates,88003731,1871.94,2,6747.07,8.83703,2610.5,2,5492.04,8.72239,0.813989,1,True,738.56,73,,,,
candidates,233173039,1893.77,4,4062.56,8.61895,2620.46,4,4373.5,9.24349,1.07654,1,True,726.69,72,,,,
candidates,91965810,1872.17,2,5119.03,8.61881,2635.57,8,4364.52,15.25,0.852607,4,False,763.4,76,,,,
candidates,329247724,1883.7,3,3169.82,8.59237,2635.74,6,2011.06,10.0177,0.63444,2,True,752.04,75,,,,
candidates,219857012,1895.49,6,455.748,8.47517,2618.65,4,475.433,8.42316,1.04319,0.666667,True,723.16,72,,,,False
candidates,11893760,1886.71,8,901.278,8.43602,2610.76,6,1810.28,9.65441,2.00857,0.75,False,724.05,72,,,,
candidates,149362794,1893.59,4,1086.43,8.41822,2611.89,1,4959.92,20.0396,4.56534,0.25,False,718.3,71,,,,
candidates,91917148,1881.84,16,1312.12,8.2645,2626.49,1.5,6287.39,9.00771,4.79178,0.09375,False,744.65,74,,,,
candidates,91844990,1876.21,24,7866.99,8.18513,2610.84,8,9563.03,28.7418,1.21559,0.333333,False,734.63,73,,,,
candidates,137770089,1897.61,1.5,6208.23,8.14194,2635.83,1.5,3434.92,7.54734,0.553285,1,True,738.22,73,,,,
candidates,237214359,1883.8,1.5,1947.67,7.92814,2611.27,2,2486.23,10.2003,1.27652,1.33333,True,727.47,72,,,,
candidates,393835945,1887.13,2,2305.42,7.91909,2635.51,3,1715.86,7.89059,0.744272,1.5,True,748.38,74,,,,
candidates,17238861,1896.42,4,1111.92,7.82955,2628.47,2,4094.15,14.4488,3.68205,0.5,False,732.05,73,,,,
candidates,259237909,1871.23,1.5,2739.05,7.67238,2612.48,12,1921.15,13.8103,0.701393,8,False,741.25,74,,,,
candidates,386892877,1892.97,1.5,3104.5,7.26934,2627.06,2,4561.51,10.0209,1.46932,1.33333,True,734.09,73,,,,
candidates,53481079,1871.52,3,1322.02,7.19319,2612.88,4,1236.55,8.21249,0.935349,1.33333,True,741.36,74,,,,False
candidates,331945249,1871.17,1,6100.68,7.01813,2613.09,2,8591.17,9.81651,1.40823,2,True,741.92,74,,,,
vetted,198382838,1874.9,9.07766,222760,1933.52,2628.02,9.06997,221740,1392.24,0.995419,0.999153,True,753.116,75,,,,
vetted,16220912,1887.97,8.25102,400117,1420,2616.48,8.25838,395201,1142.26,0.987715,1.00089,True,728.514,72,,,,
vetted,198211503,1885.89,12.2486,145303,1129.5,2626.12,12.2287,144317,1254.87,0.993219,0.998381,True,740.233,74,,,,
vetted,9339921,1871.21,14.4053,389743,850.515,2634.44,14.1834,447051,1171.15,1.14704,0.984597,True,763.236,76,,,,
vetted,125527530,1882.46,8.79852,184546,683.366,2627.54,8.82091,183468,747.528,0.994159,1.00254,True,745.08,74,,,,
vetted,153950598,1872.09,15.273,273804,640.417,2632.38,15.2942,270612,683.128,0.988342,1.00139,True,760.286,76,,,,
vetted,239198203,1890.99,7.01818,253833,554.308,2628.91,4.08177,45867.6,75.8505,0.1807,0.5816,False,737.914,73,,maybe,,True
vetted,147938894,1880.49,8.11275,209483,401.558,2630.16,8.12336,203467,303.313,0.971279,1.00131,True,749.668,74,,,,
vetted,166151015,1896.26,3.60454,458229,400.099,2611.94,3.636,437197,380.532,0.9541,1.00873,True,715.68,71,,,,
vetted,229674420,1897.31,6.8781,137456,385.968,2613.43,6.82669,135585,328.394,0.986391,0.992524,True,716.123,71,,,,
vetted,237214300,1882.08,8.23052,114639,372.962,2632.53,8.23348,112138,189.943,0.97818,1.00036,True,750.452,75,,,,
vetted,148967558,1889.21,5.87945,251595,369.495,2634.84,5.8633,243855,241.66,0.969235,0.997253,True,745.632,74,,,,
vetted,310995456,1881.66,2.79985,237598,362.311,2611.73,2.79934,231864,396.098,0.975864,0.999816,True,730.073,73,,,,
vetted,287270568,1873.68,3.40769,411648,357.382,2619.09,3.41501,418906,271.442,1.01763,1.00215,True,745.406,74,,,,
vetted,136950041,1876.44,10.7329,75648,318.222,2633.85,8.86441,48798.8,147.309,0.645078,0.82591,True,757.405,75,,,,
vetted,202351301,1885.84,6.71729,227111,259.124,2613.52,9.56266,87539.6,77.373,0.385448,1.42359,False,727.678,72,,,,
vetted,288525509,1874.31,8.24115,240848,222.225,2627.43,8.09183,231000,351.127,0.959113,0.981881,True,753.114,75,,,,
vetted,307988813,1877.38,5.88288,105255,207.282,2629.72,5.98064,108462,180.845,1.03047,1.01662,True,752.339,75,,,,
vetted,356541551,1873.21,9.38789,219041,182.418,2635,9.32544,193669,153.922,0.884167,0.993347,True,761.786,76,,,,
vetted,230396307,1881.28,8.35576,94403.1,172.478,2632.86,6.9394,235875,670.862,2.49859,0.830493,False,751.576,75,,,,
vetted,236865152,1875.04,9.76544,106890,149.222,2629.09,9.09025,10584.6,28.9185,0.0990235,0.930859,False,754.054,75,,,,
