key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
219732404_5,219732404,5,2627.2,2353.33,24,33.181,1,True,True,29.7269,168.984,-7.69252,flare_decay,False,True,True,True,True,True,1.11114,1.05824,,,True,True,True,True,,True,
219732404_6,219732404,6,2616.97,594.102,16,6.95731,0,True,,,,,,,,,,,,,,,,,,,,,,
219732404_7,219732404,7,2616.64,3894.3,16,45.6047,1,True,True,38.8962,238.21,4.01492,flare_decay,True,True,True,True,True,True,1.06472,0.994316,,,True,True,True,True,,True,
219732404_8,219732404,8,2614.94,933.134,24,13.1568,1,True,True,10.867,11.0378,-10.7865,flare_decay,False,True,True,True,True,True,0.531475,0.687572,,,True,True,True,True,,True,
219732404_9,219732404,9,2615.53,458.898,24,6.47028,0,True,,,,,,,,,,,,,,,,,,,,,,
219732404_10,219732404,10,2627.38,2049.72,16,24.0035,1,True,True,22.0642,86.3494,4.30962,flare_decay,True,True,True,True,True,True,1.15713,0.975165,,,True,True,True,True,True,True,
219732404_11,219732404,11,2613.85,921.907,16,10.7961,0,True,,,,,,,,,,,,,,,,,,,,,,
219732404_12,219732404,12,2630.75,4800.99,16,56.2227,1,True,True,49.8681,391.527,-0.84837,flare_decay,True,True,True,True,True,True,0.955229,0.975472,,,True,True,True,True,True,True,
219732404_13,219732404,13,2628.71,8728.3,1,20.7944,1,False,True,21.9999,114.3,-12.9257,flare_decay,False,True,True,True,True,True,1.31648,0.934342,,,True,False,True,True,,True,
219732404_14,219732404,14,2620.64,2811.8,2,9.69423,1,False,True,9.92117,18.2526,-7.66441,flare_decay,False,True,True,True,True,True,0.963314,0.930281,,,True,False,True,True,,True,
219732404_15,219732404,15,2628.84,9570.93,4,49.127,1,True,True,47.7807,510.327,-7.01471,flare_decay,False,True,True,True,True,True,0.88528,0.993412,,,True,True,True,True,True,True,
219732404_16,219732404,16,2617.03,15066,1,35.8935,1,False,True,38.7842,368.151,5.91717,flare_decay,True,True,True,True,True,True,1.24861,0.939004,,,True,False,True,True,,True,
219732404_17,219732404,17,2625.83,1049.54,24,14.7981,1,True,True,11.5896,-13.8216,-8.26862,step,False,True,True,True,True,True,0.631126,1.10522,,,False,True,True,True,,True,
219732404_18,219732404,18,2610.64,388.392,24,5.47617,0,True,,,,,,,,,,,,,,,,,,,,,,
