name,tic,disposition,period_d,depth_ppm,checks,confidence,evidence,in_lc_sample,sectors
CTOI 272357134.02,272357134,PC,4.19583,16962,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.197 d; companion 0.24 M_sun (SB1 mass function (sin i = 1)),True,"1,2,3,4,5,6,7,8,9,10,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63,64,65,66,67,69,87,89,90,94,96,97,98"
CTOI 273792220.01,273792220,PC,1.9868,26367.6,gaia_orbit,high,Gaia NSS SB2C orbit P = 1.988 d; companion 1.26 M_sun (SB2 mass ratio (K1/K2)),True,"1,2,28,29,68,69,96"
CTOI 273792220.02,273792220,PC,1.98681,53042.6,gaia_orbit,high,Gaia NSS SB2C orbit P = 1.988 d; companion 1.26 M_sun (SB2 mass ratio (K1/K2)),True,"1,2,28,29,68,69,96"
CTOI 277649549.01,277649549,PC,14.4882,960283,gaia_orbit,high,Gaia NSS SB2 orbit P = 14.491 d; companion 1.38 M_sun (SB2 mass ratio (K1/K2)),True,"1,27,28,67,68,94,95,102,103,104,105"
CTOI 277649549.02,277649549,PC,14.4903,876987,gaia_orbit,high,Gaia NSS SB2 orbit P = 14.491 d; companion 1.38 M_sun (SB2 mass ratio (K1/K2)),True,"1,27,28,67,68,94,95,102,103,104,105"
CTOI 278683641.01,278683641,PC,4.25208,14113.6,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.242 d; companion 0.55 M_sun (SB1 mass function (sin i = 1)),True,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
CTOI 279322914.01,279322914,PC,18.8689,30777.1,gaia_orbit,high,Gaia NSS SB1 orbit P = 18.874 d; companion 0.24 M_sun (SB1 mass function (sin i = 1)),True,"1,5,7,8,9,10,11,12,13,27,28,34,35,36,37,38,39,61,62,63,64,65,66,67,69,87,89,90,93,94,95,96,97,98"
CTOI 282502866.01,282502866,PC,7.40066,13455,gaia_orbit,high,Gaia NSS SB2 orbit P = 7.397 d; companion 1.35 M_sun (SB2 mass ratio (K1/K2)),True,"6,33,87"
CTOI 284990199.01,284990199,PC,4.09313,33773.2,odd_even;centroid,high,odd and even transits differ by 11.1 sigma (-14202 vs -1771 ppm) | the star's image shifts during transit (37.0 sigma; the dimming source would be ~68469 arcsec away),True,"14,40,41,54"
CTOI 287351976.01,287351976,PC,1.92431,422767,gaia_orbit,high,Gaia NSS EclipsingBinary: P = 1.9219 d; Gaia eclipsing binary (photometric): P = 1.9219 d,True,"2,3,5,6,9,10,11,12,13,29,30,32,33,35,36,37,38,39,61,62,63,64,65,66,69"
CTOI 287351976.02,287351976,PC,1.92361,80204.8,gaia_orbit,high,Gaia NSS EclipsingBinary: P = 1.9219 d; Gaia eclipsing binary (photometric): P = 1.9219 d,True,"2,3,5,6,9,10,11,12,13,29,30,32,33,35,37,38,39,61,62,63,64,65,66,69"
CTOI 295176393.01,295176393,PC,27.2519,4880,gaia_orbit,high,Gaia NSS SB1 orbit P = 27.249 d; companion 0.53 M_sun (SB1 mass function (sin i = 1)),True,"12,13,39,66,93"
CTOI 300903537.01,300903537,PC,5.82361,83073,gaia_orbit,high,Gaia NSS SB1 orbit P = 5.822 d; companion 0.20 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68,95"
CTOI 301980639.01,301980639,PC,4.78264,21986,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.783 d; companion 0.30 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68"
CTOI 306635088.01,306635088,PC,17.0004,17069.5,gaia_orbit,high,Gaia NSS SB1 orbit P = 17.006 d; companion 0.23 M_sun (SB1 mass function (sin i = 1)),True,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69,87,88,89,90,93,95,96,97,98"
CTOI 318357083.01,318357083,PC,3.24,15883,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.244 d; companion 0.15 M_sun (SB1 mass function (sin i = 1)),True,"21,48,75"
CTOI 318707367.01,318707367,PC,13.9757,12494.6,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.987 d (transit period = 2x Gaia's); companion 0.43 M_sun (SB1 mass function (sin i = 1)),True,"42,43,70"
CTOI 32606889.01,32606889,PC,4.68686,10913,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.687 d; companion 0.21 M_sun (SB1 mass function (sin i = 1)),True,"5,6,32,33,98"
CTOI 339502646.01,339502646,PC,15.625,2897,odd_even;centroid,high,odd and even transits differ by 6.8 sigma (-616 vs 2694 ppm) | the star's image shifts during transit (7.5 sigma; the dimming source would be ~49 arcsec away),True,20
CTOI 344087362.01,344087362,PC,14.4959,3604,gaia_orbit,high,Gaia NSS SB1 orbit P = 14.496 d; companion 0.23 M_sun (SB1 mass function (sin i = 1)),True,"6,7,8,9,33,34,35,36,61,62"
CTOI 350479101.02,350479101,PC,11.9229,961353,gaia_orbit;odd_even,high,Gaia NSS SB2C orbit P = 11.918 d; companion 1.40 M_sun (SB2 mass ratio (K1/K2)) | odd and even transits differ by 42.9 sigma (3990 vs 3114 ppm),True,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96"
CTOI 350480660.01,350480660,PC,4.463,26253.3,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.464 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)),True,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97"
CTOI 356435413.01,356435413,PC,27.4796,14077,gaia_orbit,high,Gaia NSS SB1 orbit P = 27.479 d; companion 0.68 M_sun (SB1 mass function (sin i = 1)),True,"25,26,52,53,79"
CTOI 368803791.01,368803791,PC,15.526,22000,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.761 d (transit period = 2x Gaia's); companion 0.19 M_sun (SB1 mass function (sin i = 1)),True,51
CTOI 372909935.01,372909935,PC,3.61247,9689.9,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 3.611 d; companion 0.31 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 9.5 sigma (1338 vs 960 ppm),True,"1,2,4,5,7,8,9,10,11,12,27,28,29,31,32,34,35,36,37,38,39,61,62,63,64,65,68,69,87,88,89,90,95,96"
