sector,t0,depth_ppm,duration_h,expected_snr,measured_snr,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,n_events
18,1806.7380138527385,50.0,4.0,0.6186388197830506,2.6804871959039396,False,False,nan,nan,nan,0
60,2941.174576703024,50.0,4.0,0.921809982687052,2.1184272516945,False,False,nan,nan,nan,0
78,3441.805911470084,50.0,4.0,0.1809225339271177,2.074191935520865,False,False,nan,nan,nan,0
79,3453.3838801119123,50.0,4.0,0.6580522418009838,1.0825598862722883,False,False,nan,nan,nan,0
22,1911.843386868014,50.0,4.0,0.6434452110961884,2.681866374800345,False,False,nan,nan,nan,0
22,1907.9822193578161,50.0,4.0,0.6434452110961884,1.368983177705096,False,False,nan,nan,nan,0
73,3292.1537010498787,50.0,4.0,0.7332277600388971,3.5362220955939856,False,False,nan,nan,nan,0
74,3316.9479688808174,50.0,4.0,0.6551670874308796,1.2269168269277273,False,False,nan,nan,nan,0
22,1916.736504337132,50.0,4.0,0.6434452110961884,2.143527753014028,False,False,nan,nan,nan,0
79,3456.006131390207,50.0,4.0,0.6580522418009838,1.2441388133607658,False,False,nan,nan,nan,0
40,2416.815773920679,50.0,4.0,0.5132810153261708,1.7119356269233148,False,False,nan,nan,nan,0
86,3656.593364702524,50.0,4.0,0.8349492192306266,0.17478911084567425,False,False,nan,nan,nan,0
52,2727.9138941105803,50.0,4.0,0.6912631524900428,2.702721731322649,False,False,nan,nan,nan,0
59,2927.6719126423513,50.0,4.0,0.8155611661353961,1.535253144501303,False,False,nan,nan,nan,0
26,2010.8088171558002,50.0,4.0,0.5720668407954814,1.7527561760583106,False,False,nan,nan,nan,0
21,1896.7043225038565,50.0,4.0,0.734871916352317,2.937645355405184,False,False,nan,nan,nan,0
51,2704.066311562402,50.0,4.0,0.7574111974840625,1.5343949342261152,False,False,nan,nan,nan,0
53,2763.757254713998,50.0,4.0,0.42269182199107475,1.5957694142893013,False,False,nan,nan,nan,0
16,1740.4141881993078,50.0,4.0,0.7567074271793555,1.8325302549304945,False,False,nan,nan,nan,0
26,2021.9075243452278,50.0,4.0,0.5720668407954814,1.5343773988839366,False,False,nan,nan,nan,0
73,3297.780044781251,50.0,4.0,0.7332277600388971,3.6641854881795566,False,False,nan,nan,nan,0
52,2741.966835105217,50.0,4.0,0.6912631524900428,1.8273902066452226,False,False,nan,nan,nan,0
