key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
172530223_2612.9700,172530223,2613,A,8940,9.2928,896.85,24,12.279,1.8549,1.15,142.84,29.774,True,False,,ok,False,False,-2.5348,-6.448,flare_decay,2613.2,0.037102,14.87,0.44408,1594.3,False,True,False,4.5261,88.785,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-6.448,4.4581,0.37704,-2.5348
27068491_2618.0600,27068491,2618.1,A,8950,9.277,4776.5,2,12.213,1.2058,1.06,152.04,19.752,True,False,,ok,False,False,3.0426,0.074379,flare_decay,2618.1,0.35959,4.0924,1.2717,5274,True,True,False,3.9629,2.7281,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,0.074379,56.075,38.257,3.0426
8901872_2631.3300,8901872,2631.3,A,8963,9.2644,8175.8,1.5,12.851,1.3077,0.84,143.77,30.311,True,False,,ok,True,True,34.922,0.56406,flare_decay,2631.3,0.091371,1.4755,0.12893,10077,False,False,False,3.728,0.11266,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,0.56406,202.03,126.52,34.922
232524876_2627.6900,232524876,2627.7,A,8973,9.2545,2298.1,12,12.485,0.87976,1.02,194.12,76.271,True,False,,ok,False,False,-6.8113,-6.3111,step,2627.5,0.041801,3.9348,0.049206,2116.5,False,True,False,2.2434,13.486,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-6.3111,-1.4177,-6.8113,-6.406
166150165_2625.5500,166150165,2625.6,A,8974,9.2537,2154.4,3,11.058,0.7507,0.762,216.03,63.849,True,False,,ok,False,False,-6.4665,-4.5016,step,2625.5,0.029635,4.9842,0.29656,1044.7,False,True,False,2.0851,34.156,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-4.5016,-1.7005,-6.4665,-3.3815
171629662_2620.7000,171629662,2620.7,A,8978,9.2499,2620.8,16,12.706,0.98849,0.96,158.33,22.036,True,False,,ok,False,False,1.8906,-3.7712,step,2620.7,0.048952,19.189,0.00030404,2903.9,False,True,False,2.5899,1017.4,,True,True,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.7712,29.817,1.8906,8.4655
239196370_2617.0100,239196370,2617,A,8984,9.2457,5797.2,2,12.363,1.4879,1.09,146.56,25.954,True,False,,ok,True,True,13.846,-2.3432,flare_decay,2617,0.36594,5.2076,1.2731,5807.5,True,True,False,4.8683,3.0246,,True,False,True,False,True,ok,False,False,-0.11435,-0.058115,True,,,-2.5109,True,True,,0,-1.0573,True,,True,False,False,False,False,,,,not run,,,,,,0,-2.3432,55.298,44.965,13.846
233173039_2620.4600,233173039,2620.5,A,8985,9.2435,4373.5,4,12.899,0.8736,1.09,216.21,66.701,True,True,5635.01,ok,False,False,2.1183,-6.5376,flare_decay,2620.5,0.064434,4.8273,9.9124e-08,5030.3,False,True,False,2.2263,25.491,,True,False,True,True,True,ok,True,True,0.91254,0.89359,True,0.14916,0.85284,7.2969,False,True,,0,8.435,True,,True,True,False,False,False,5635.01,PC,,ok,True,0.10121,0,15.524,25.491,0,-6.5376,33.152,7.2703,2.1183
252468694_2611.7700,252468694,2611.8,A,8987,9.2387,3867.6,6,12.868,1.0182,0.97,150.3,52.483,True,False,,ok,False,False,-11.143,-8.7399,flare_decay,2611.7,0.071688,15.121,0.73477,5253.5,False,True,False,2.7163,431.53,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-8.7399,8.4455,-8.6398,-11.143
95342238_2618.0600,95342238,2618.1,A,8993,9.2291,3856.5,2,11.883,1.4603,1.46,153.85,19.326,True,False,,ok,False,False,6.3301,-2.8959,flare_decay,2618.1,0.079059,2.2154,0.9024,5155.9,True,True,False,3.423,0.61663,grazing,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.8959,69.562,43.779,6.3301
